repository,issue_count,comment_count,unique_users,open_issues,first_issue,last_issue
lcapelluto/qiskit-terra,7,2,1,0,2019-07-03,2020-10-28
intel/intel-qs,115,151,37,16,2020-03-17,2024-09-28
HydroXCarbon/HybridQuantumGAN,5,0,1,0,2024-08-20,2024-09-11
neelkanthrawat/quMCMC,2,0,1,0,2023-08-21,2024-05-27
qutech/Qcodes,422,411,6,12,2018-05-22,2024-10-29
SidaChen1999/artiq,1,0,1,0,2021-07-19,2021-07-19
shef4/qiskit,2,0,1,0,2023-10-03,2024-10-01
uguraba/qiskit-terra,1,0,1,1,2020-01-17,2020-01-17
sarvex/qiskit-finance,2,0,2,1,2023-06-05,2024-09-03
benoitseron/BosonSampling.jl,77,31,8,6,2022-02-06,2023-12-19
suhaskvittal/qontra,1,0,1,0,2022-09-15,2022-09-15
Ganar-lab/pyrpl,1,0,1,0,2021-04-22,2021-04-22
anitalu724/pyzx,6,2,3,0,2022-12-20,2023-03-30
pyRiemann/pyRiemann-qiskit,324,428,10,26,2021-09-25,2024-10-27
adgt/pulsemaker,6,0,2,0,2021-01-02,2021-12-12
nkanazawa1989/qiskit-tutorials,1,0,1,0,2019-03-25,2019-03-25
XanaduAI/GradDFT,97,142,4,11,2023-08-10,2023-12-11
iqm-finland/iqm-client,141,30,20,0,2021-08-27,2024-10-28
manoelmarques/qiskit-nature,1,0,1,0,2022-07-18,2022-07-18
Nomos11/qopt,2,0,1,0,2024-04-30,2024-04-30
PennyLaneAI/catalyst,1248,2890,70,131,2023-02-21,2024-10-29
nfwvogt/qoqo-for-braket,2,0,1,1,2024-01-26,2024-01-26
haiqu-ai/rivet,3,1,2,1,2024-02-16,2024-10-23
hodgestar/qutip,1,0,1,0,2022-04-20,2022-04-20
TimWeaving/z-quantum-core,1,0,1,0,2021-09-30,2021-09-30
anuragm/openqasm,1,0,1,1,2024-02-09,2024-02-09
JET2001/eqc_for_nco,1,0,1,0,2024-09-28,2024-09-28
SquareandCompass/qutip,6,10,2,2,2024-05-08,2024-07-06
dakk/qlasskit,67,51,9,13,2023-10-06,2024-10-17
xBorox1/D-Wave-Leap---CVRP,6,2,1,4,2021-04-30,2022-12-08
FarBo/Qcodes,70,61,4,10,2021-03-22,2022-10-17
elads888/toqito,1,0,1,0,2023-06-11,2023-06-11
bsaarel/IonSim.jl,1,0,1,0,2020-06-08,2020-06-08
RosenblumLab/pyEPR,1,0,1,0,2021-11-29,2021-11-29
iqm-finland/cirq-on-iqm,139,29,18,1,2021-02-05,2024-10-23
anushkrishnav/Perceval-PennyLane-Plugin-Python,1,0,1,1,2024-06-01,2024-06-01
nathanawmk/silq,1,0,1,1,2022-03-13,2022-03-13
vm6502q/SimulaQron,1,0,1,0,2021-09-09,2021-09-09
jsenellart/Perceval,1,1,2,0,2022-04-26,2022-04-26
m3ller/penaltymodel,3,0,2,1,2018-11-26,2019-02-21
mtreinish/qiskit-core,25,5,9,0,2019-05-13,2024-06-06
1ucian0/qiskit-terra,70,85,9,6,2018-09-24,2024-07-04
LaurentAjdnik/Pulser,2,0,1,0,2021-05-28,2021-05-28
doichanj/qiskit-aer,9,0,3,2,2020-03-02,2023-01-27
qiskit-community/qiskit-aqt-provider,196,123,27,7,2019-09-25,2024-10-21
jose/qsmell,2,2,2,0,2023-01-20,2023-01-20
QISS-HZB/QuaCCAToo,5,1,3,0,2024-03-28,2024-09-24
PatrickSJacobs/qiskit-metal,1,0,1,1,2021-06-24,2021-06-24
burgholzer/Qrogue,9,2,1,7,2023-08-10,2023-10-18
desireevl/quantum-catsweeper,1,0,1,1,2022-07-16,2022-07-16
CarolusMagnus/QuantumOptics.jl,5,0,2,3,2021-10-19,2024-03-15
pbark/qiskit-aqua,7,3,5,0,2019-07-19,2020-10-15
ricardoprins/QuantumKatas,1,0,1,1,2020-05-31,2020-05-31
wshanks/qiskit-aer,2,0,1,1,2022-12-05,2022-12-05
qiskit-community/qiskit-cold-atom,98,130,15,10,2021-09-23,2024-09-03
Mu-L/Cirq,136,0,2,1,2019-02-22,2022-07-07
USTC-TNS/TNSP,25,6,2,10,2020-09-11,2024-09-04
Ntrystan/quantum,1,0,1,0,2023-05-25,2023-05-25
pranath-reddy/quantum,1,0,1,0,2020-09-21,2020-09-21
BramDo/qiskit-tutorial,1,0,1,0,2019-04-22,2019-04-22
cvjjm/pennylane,1,6,3,1,2021-12-09,2021-12-09
Louisanity/cuPhastLearn,2,0,1,0,2024-02-19,2024-02-22
jkalloor3/bqskit,1,0,1,1,2024-06-21,2024-06-21
Blueqat/Blueqat,161,66,15,12,2018-08-29,2023-05-06
ShellyGarion/qiskit-ignis,1,0,1,0,2020-05-17,2020-05-17
chaserileyroberts/qsim,1,0,1,0,2020-07-22,2020-07-22
pafloxy/quMCMC,32,8,3,0,2022-11-30,2024-07-06
G-4-R-Y/QuantumKatas,1,0,1,0,2020-08-13,2020-08-13
itoko/qiskit-experiments,2,0,1,0,2022-09-16,2022-10-07
qua-platform/qua-libs,256,276,36,14,2020-11-05,2024-10-26
dwavesystems/qbsolv,166,222,56,32,2017-01-06,2022-07-27
markjeveritt/qiskit-sdk-py,1,4,2,0,2017-10-25,2017-10-25
erichulburd/qvm,1,0,1,1,2022-11-22,2022-11-22
roytmanpiccoli/openqasm,8,0,1,8,2024-03-18,2024-07-10
kbarkhqs/qoqo,3,0,1,0,2021-08-31,2023-06-22
qiskit-community/aqc-research,5,4,5,1,2023-03-15,2024-01-22
antialamas/Cirq,1,0,1,1,2018-10-30,2018-10-30
terrorfisch/qc-toolkit,2,0,1,1,2015-10-14,2015-10-14
KOSASIH/qiskit-aqua,2,0,2,2,2021-05-13,2021-07-10
kevinsung/qiskit,63,114,2,7,2022-03-11,2024-07-08
zapatacomputing/benchq,162,207,22,4,2023-02-16,2024-08-23
ShuxiangCao/quantum,1,0,1,0,2020-07-16,2020-07-16
corbett/QuantumComputing,14,23,10,3,2016-06-18,2022-10-16
QuantumKeLab/Quela_Qblox,4,2,2,0,2024-05-21,2024-06-03
abhimanyukumbhar/quantumcat,5,0,1,0,2021-04-17,2021-04-21
oxarbitrage/RustQIP,2,0,1,0,2021-06-20,2021-06-29
lneuhaus/pyrpl,523,1304,146,170,2016-05-14,2024-10-25
jrossthomson/qsim,6,1,2,1,2020-11-20,2021-10-11
nathanshammah/mitiq,308,588,2,12,2021-09-02,2024-08-02
teng10/qhack23_rydberg_graph,1,0,1,0,2023-03-05,2023-03-05
MattKaplan/ReCirq,2,0,1,1,2021-10-19,2021-11-16
stevenheidel/openqasm,15,5,5,0,2021-03-03,2021-09-02
qecsim/qecsim,2,1,3,1,2021-08-05,2021-08-20
JaimePSantos/QWAK,205,17,6,17,2021-12-07,2024-10-25
anushkrishnav/Tangelo,1,0,1,1,2024-05-29,2024-05-29
splch/Cirq,1,0,1,1,2024-10-10,2024-10-10
VarLad/Yao.jl,1,0,1,1,2021-06-05,2021-06-05
aspcompiler/openqasm,2,1,2,0,2021-10-05,2021-10-07
scikit-quant/scikit-quant,27,73,17,11,2020-04-13,2024-02-22
apache/mahout,469,1282,99,12,2014-05-23,2024-10-09
kyle-w-brown/tket,6,1,1,5,2023-12-04,2024-01-22
kevinsung/OpenFermion,1,0,1,0,2018-03-12,2018-03-12
uJhin/qiskit-terra,1,0,1,1,2022-04-08,2022-04-08
zxcalc/pyzx,269,636,90,35,2018-07-17,2024-08-28
Milos9304/QuEST,5,0,1,0,2021-10-11,2022-08-09
AbdullahKazi500/torchquantum,1,0,1,0,2024-05-31,2024-05-31
timibacco/healthcentre,1,0,1,0,2023-08-23,2023-08-23
Nomos11/qupulse,1,0,1,0,2023-06-16,2023-06-16
rawkintrevo/mahout,1,0,1,1,2017-08-21,2017-08-21
ntwalibas/quantum-chem,4,1,1,3,2021-04-30,2022-12-08
stephanbm/pennylane,1,1,2,1,2020-04-15,2020-04-15
vhartong/Qcodes,5,0,1,0,2019-01-15,2020-03-17
pratjz/IBM-Quantum-Challenges,1,0,1,0,2022-11-15,2022-11-15
anedumla/quantum_linear_solvers,4,0,3,4,2023-03-25,2024-04-11
Strilanc/stim-paper,6,0,1,0,2021-03-08,2021-06-18
Renmusxd/QIP,8,5,1,6,2018-07-08,2018-08-04
jpzwolak/QFlow-lite,4,0,3,2,2018-03-30,2022-02-19
esobimpe/qiskit-iqx-tutorials,2,0,1,1,2019-10-01,2019-10-01
MazenAli/QuLearn,1,0,1,0,2024-07-20,2024-07-20
AGaliciaMartinez/qiskit-terra,10,6,1,4,2022-11-02,2023-03-06
qiskit-community/qiskit-optimization,638,1274,94,32,2020-05-11,2024-10-28
Constantine-Quantum-Tech/tqsim,49,19,5,13,2022-10-08,2024-07-16
aspuru-guzik-group/tequila,366,179,59,1,2020-04-28,2024-10-25
miaswu/qiskit-optimization,2,0,2,0,2024-08-14,2024-08-16
ProjectQ-Framework/ProjectQ,475,1047,118,36,2016-12-29,2024-10-29
rmcgurrin/Qlab,1,0,1,0,2015-10-06,2015-10-06
BrunoRosendo/vrp-quantum-solver,6,0,1,6,2024-08-31,2024-08-31
Zoufalc/qiskit-aqua,7,6,3,0,2020-02-06,2020-10-15
QISKit/openqasm,554,1492,118,88,2017-03-09,2024-10-29
AmitRotem/QuantumOptics.jl,7,0,1,0,2023-01-04,2023-12-24
Takishima/ProjectQ,15,9,2,2,2021-05-10,2023-09-18
acidburn0zzz/strawberryfields,1,0,1,1,2019-12-22,2019-12-22
khlaifiabilel/learning-Q-and-quantum-computing,2,0,2,2,2020-05-03,2024-04-28
DerekMiner/QisKit,1,0,1,0,2024-03-01,2024-03-01
SquareandCompass/Cirq,4,6,2,2,2024-05-21,2024-06-18
xanaduai/strawberryfields,748,1822,101,40,2018-03-27,2024-07-17
vutuanhai237/qoop,2,3,2,0,2024-04-04,2024-04-04
PennyLaneAI/pennylane,6456,19500,449,330,2018-05-25,2024-10-30
Sahar2/qiskit-aer,1,0,1,0,2019-08-15,2019-08-15
amitkumarj441/qutip,1,0,1,0,2019-02-06,2019-02-06
mdheller/qiskit-community-tutorials,1,0,1,1,2024-06-28,2024-06-28
johannesjmeyer/pennylane-pyquest,1,0,1,1,2020-06-05,2020-06-05
Sahar2/qiskit-terra,1,0,1,0,2019-08-15,2019-08-15
cjbe/artiq,1,1,2,1,2018-04-05,2018-04-05
gabrieleagl/qiskit-terra,10,5,1,5,2022-11-02,2023-03-06
MadhuMPandurangi/quisp,1,0,1,0,2023-03-25,2023-03-25
CQCL/tket,1626,1205,69,97,2021-09-14,2024-10-29
esabo/CodingTheory,44,65,10,12,2022-07-01,2024-10-25
qutech/qupulse,865,1104,31,106,2015-02-03,2024-10-27
Meshack-Kinyua/tequila,16,0,1,16,2023-02-20,2024-07-10
smitsanghavi/Cirq-1,1,0,1,0,2018-08-02,2018-08-02
FelixXu35/tensorcircuit,2,1,1,0,2023-06-05,2023-07-16
yourball/arline_benchmarks,1,0,1,0,2022-03-01,2022-03-01
jamestiotio/OpenFermion,1,0,1,0,2023-12-02,2023-12-02
michelle4654/qiskit-terra,4,0,1,0,2020-01-27,2020-09-15
thierry-martinez/graphix,1,0,1,1,2024-09-12,2024-09-12
jlapeyre/qiskit-core,5,2,3,1,2021-02-28,2024-06-04
mgarnier59/graphix-dev,2,0,2,0,2023-07-07,2023-08-21
AndersenQubitLab/pyEPR,1,0,1,0,2022-05-15,2022-05-15
tnemoz/qiskit-algorithms,1,0,1,0,2024-09-25,2024-09-25
terranexum/OpenQGO,18,3,3,2,2023-07-18,2023-12-30
cliffburdick/holohub,1,0,1,1,2024-05-08,2024-05-08
isolatedinformation/qae-qec,11,5,3,4,2022-02-20,2022-06-30
mltls/Qcodes,1,0,1,0,2018-08-21,2018-08-21
mstechly/quantum_tsp_tutorials,7,0,3,1,2018-08-30,2022-06-21
XirdigH/lib-Quantum,4,0,1,4,2023-06-28,2023-06-29
cbjuan/qiskit-terra,1,0,1,0,2021-09-23,2021-09-23
cgranade/qutip,2,1,1,0,2014-09-27,2015-04-20
lanl/NchooseK,6,5,2,1,2021-07-14,2023-07-07
MarcoGit96/Malware_ClassificationNN,2,0,1,0,2021-11-12,2021-11-18
qiskit-community/ibm-quantum-challenge-africa-2021,20,13,16,11,2021-08-27,2024-09-03
BBN-Q/QGL,284,591,19,36,2016-01-22,2021-10-21
kNalj/Qcodes,2,0,1,0,2018-07-30,2018-07-30
zhijinl/holohub,1,0,1,0,2024-07-25,2024-07-25
MIBbrandon/tequila,3,0,1,0,2021-01-01,2021-01-09
eliottrosenberg/qsim,1,0,1,0,2023-08-19,2023-08-19
nkanazawa1989/qiskit,51,115,8,0,2019-03-04,2023-10-16
dwavesystems/dwave_micro_client_dimod,14,8,4,1,2017-12-22,2018-02-21
ucyang/qiskit,31,43,2,6,2022-05-17,2024-07-08
boothby/minorminer,5,0,1,0,2018-04-12,2018-05-07
mbhealy/openqasm-1,1,0,1,0,2021-12-23,2021-12-23
tomtuamnuq/qiskit-optimization,1,0,1,1,2024-03-20,2024-03-20
ShreyBiswas/mitiq,7,0,2,0,2021-03-06,2021-03-11
dhruvbhq/qiskit-terra,19,25,2,5,2022-04-18,2023-03-06
quantastica/qconvert,5,0,1,0,2020-01-13,2020-04-22
XanaduAI/strawberryfields,748,1828,101,40,2018-03-27,2024-07-17
Tiamat-Tech/qml,63,0,1,1,2021-07-27,2023-01-05
ORNL-QCI/xacc-rigetti,5,1,3,1,2018-02-20,2019-02-20
ORNL-QCI/xacc-vqe-bayesopt,2,0,1,0,2018-06-25,2018-10-10
ooovector/scqubits,6,5,2,0,2020-07-08,2020-08-28
PoggioLab/Qcodes,12,12,1,0,2020-10-13,2020-10-14
dlyongemallo/qiskit,1,0,1,0,2023-11-30,2023-11-30
qkitgroup/qkit,126,129,23,18,2017-05-04,2024-10-16
mindsdb/lightwood,1217,1069,110,9,2019-06-20,2024-09-04
weinbe58/amazon-braket-examples,1,1,2,0,2022-10-14,2022-10-14
wmizukami/chemqulacs,12,4,5,1,2023-07-28,2024-09-20
anthiap/Pulser,1,0,1,1,2021-05-04,2021-05-04
fbm2718/QREM,25,7,3,0,2020-04-21,2021-11-23
draentropia/covalent,1,0,1,0,2022-06-01,2022-06-01
QuantestPy/quantestpy,211,139,3,29,2022-07-13,2023-08-26
awaregroup/contoso-straits-shipping-optimisation,1,0,1,1,2022-06-22,2022-06-22
SvenBo90/Qcodes,19,0,1,0,2019-03-05,2019-03-05
itoko/qiskit-aer,11,2,1,2,2021-02-17,2021-11-16
tula3and/qiskit-tutorials,5,6,3,0,2022-12-20,2023-03-30
WaywardPhoton/QuantumKatas,2,0,1,0,2021-07-07,2021-07-08
raksharuia/Perceval,1,0,1,0,2023-09-21,2023-09-21
Giacomo-Antonioli/QImP,84,69,4,11,2023-11-24,2024-06-05
qiskit-community/qiskit-metal,999,1221,110,136,2020-11-12,2024-10-22
a-matsuo/qiskit-finance,1,0,1,0,2021-03-22,2021-03-22
yehuda-naveh/qiskit-terra,1,1,1,0,2020-04-08,2020-04-08
CyberFlameGO/quantum-serverless,2,1,1,1,2023-08-11,2023-10-25
libtangle/qcgpu,11,17,11,5,2018-04-10,2023-07-06
Covestro-HPQC/tailoredcc,1,0,1,0,2024-06-24,2024-06-24
nahumsa/volta,14,4,2,2,2021-05-25,2024-09-04
tanvipg/qiskit-nature,2,0,2,0,2022-04-14,2022-05-30
Veri-Q/Fairness,1,0,1,0,2022-05-06,2022-05-06
MathiasPnt/Perceval,1,0,1,0,2022-08-22,2022-08-22
wshanks/qiskit-terra,11,14,3,0,2022-06-20,2022-12-20
AnirbanHFX/QuNetSim,1,0,1,0,2020-08-07,2020-08-07
a-kapila/qiskit-aer,1,0,1,0,2020-08-07,2020-08-07
pasqal-io/qadence,591,839,40,83,2023-09-22,2024-10-29
osmaelo/QuantumKatas,57,0,1,0,2020-06-05,2020-09-08
spack/pypi-to-spack-package,6,4,2,2,2024-02-22,2024-05-14
gsalton/amazon-braket-examples,1,0,1,0,2021-08-27,2021-08-27
ChandanSuri/Quantum-Computing,10,1,1,9,2024-06-30,2024-09-24
mkeshita/OpenFermion,1,0,1,1,2022-03-29,2022-03-29
alejomonbar/qml,2,0,1,0,2023-09-11,2024-01-25
nunofernandes-plight/Yao.jl,1,0,1,1,2021-02-20,2021-02-20
pranath-reddy/qutip,1,0,1,0,2020-04-03,2020-04-03
moler-group/Qcodes,1,0,1,0,2024-04-03,2024-04-03
dabacon/qsel,2,0,1,0,2018-04-01,2018-04-02
guenp/Qcodes,110,80,3,25,2021-04-08,2023-11-08
ricardoprins/strawberryfields,1,0,1,1,2020-07-02,2020-07-02
snirqm/sp-hackaton,4,1,1,3,2023-10-03,2023-10-25
XanaduAI/pennylane-plugin-template,1,5,3,1,2019-10-22,2019-10-22
sarvex/tensorflow-quantum,6,2,3,3,2023-04-28,2024-07-30
quantumcircuitsatuiuc/pyEPR,1,0,1,0,2024-09-27,2024-09-27
lucky9-cyou/cuda-quantum,2,1,1,2,2024-02-27,2024-02-28
gines-carrascal/qiskit-terra,1,0,1,0,2020-04-09,2020-04-09
hema-ted/pyzfs,19,20,9,5,2020-03-13,2024-04-23
lukabavdaz/Qcodes,1,0,1,0,2018-10-22,2018-10-22
mkeshita/QuantumKatas,1,0,1,1,2022-03-31,2022-03-31
chriseclectic/qiskit-tutorials,1,0,1,0,2019-03-14,2019-03-14
rabaniten/UniversalQCompiler,1,0,1,0,2019-04-26,2019-04-26
ismaila-at-za-ibm/qiskit-aqua,1,0,1,1,2020-01-29,2020-01-29
nunofernandes-plight/quantum,1,0,1,1,2021-02-20,2021-02-20
omarcostahamido/qiskit-tutorials,8,1,1,0,2019-03-10,2020-05-09
qcware/platform_client_library_python,38,6,10,1,2017-08-10,2023-05-23
llens/QuantumComputingEvolutionaryAlgorithmDesign,11,0,1,0,2022-08-21,2022-09-01
CamilleLCal/qutip,2,0,2,0,2021-02-15,2021-09-23
mrwojtek/Cirq,10,9,3,0,2021-01-07,2021-02-03
qumoptly/OpenFermion,2,0,1,0,2019-07-12,2020-07-08
Huntemall/Cirq-dev,1,0,1,0,2024-07-16,2024-07-16
tonybruguier/qsim,1,0,1,1,2024-09-03,2024-09-03
dwinkler1/QuantumKatas,1,0,1,0,2019-09-02,2019-09-02
myQLM/myqlm-fermion,9,27,9,1,2022-09-15,2023-10-19
samantha-ho/Qcodes,293,263,1,30,2022-05-28,2024-07-19
rslstein/QuantumKatas,1,0,1,1,2020-07-30,2020-07-30
farhad-abdi/InSilicoQ,1,0,1,1,2024-03-12,2024-03-12
jamestiotio/qrack,1,0,1,0,2023-08-26,2023-08-26
noajshu/Stim,1,0,1,1,2022-09-22,2022-09-22
dunningdan/qiskit,3,2,2,3,2024-04-22,2024-04-25
sammcardle30/OpenFermion,1,0,1,0,2018-06-08,2018-06-08
adripo/lightwood,1,0,1,0,2022-10-15,2022-10-15
burgholzer/tket,1,0,1,1,2024-09-03,2024-09-03
kotarot/sawatabi,78,75,6,1,2020-10-11,2021-05-08
Qiskit/qiskit-nature,1356,2553,167,59,2020-09-17,2024-08-14
Xtuden-com/quantum,26,0,2,26,2021-03-19,2024-07-15
aymeric-degroote/prevision-quantum,1,1,1,0,2023-03-03,2023-03-03
vishalbelsare/pyquil,10,0,1,1,2021-04-04,2022-08-10
rigetti/quantumflow,18,0,1,0,2018-11-03,2019-05-30
TNO-Quantum/qscore,4,0,2,0,2022-06-08,2024-01-11
thomascherickal/pennylane,2,0,1,0,2020-12-17,2021-09-28
shor-team/shor,61,43,7,14,2020-06-08,2023-04-21
QunaSys/quri-parts,383,362,25,11,2022-12-15,2024-10-28
WingCode/qutip,1,0,1,0,2021-05-14,2021-05-14
vorpex/qvantum,2,0,1,0,2018-05-21,2018-05-30
jakelishman/openqasm,2,3,2,0,2021-12-06,2022-03-30
708-145/qiskit-community-tutorials,2,0,1,0,2020-05-18,2020-05-26
nelimee/Stim,1,0,1,0,2024-06-06,2024-06-06
freyam/Cirq,3,0,2,0,2021-09-23,2021-09-26
arghyaganguly/quantum,1,0,1,1,2021-08-18,2021-08-18
sergiobat/pyquil,1,0,1,1,2022-02-03,2022-02-03
raynelfss/qiskit,5,0,2,0,2023-06-26,2024-07-23
jamestiotio/qsim,3,0,3,1,2022-12-02,2023-03-24
KMU-quantum-classroom/qiskit-classroom-converter,115,118,2,7,2023-07-29,2024-08-29
anedumla/qiskit-nature,1,0,1,0,2021-12-14,2021-12-14
Andrew-S-Rosen/covalent,2,0,2,0,2023-06-04,2023-12-06
Rutam21/lightwood,5,0,3,5,2021-10-09,2024-07-09
notvicent3/qsim,1,0,1,1,2024-09-03,2024-09-03
CatalinaAlbornoz/qiskit-terra,1,0,1,0,2020-08-17,2020-08-17
Pitt-JonesLab/quantum_logical,23,4,2,9,2023-11-11,2024-02-15
PennyLaneAI/pennylane-pq,99,161,22,3,2018-10-11,2024-02-23
mooey5775/QuantumKatas,1,0,1,0,2020-06-24,2020-06-24
qilimanjaro-tech/qibo,4,0,2,3,2021-08-25,2021-09-30
bobbydiji/strawberryfields,22,0,1,17,2024-02-24,2024-07-16
vanwelsenes/OpenFermion,1,0,1,0,2020-05-04,2020-05-04
hiroyha1/QuantumKatas,1,0,1,0,2020-10-20,2020-10-20
siinfante/Quirk,14,4,1,10,2022-04-19,2024-03-14
dwiddows/Cirq,1,0,1,0,2022-06-13,2022-06-13
pdc-quantum/qiskit-sdk-py,1,0,1,0,2018-12-02,2018-12-02
KaranBaijal/qiskit-tutorials,3,0,1,2,2023-07-01,2023-07-01
Or4cl3AI/CyberQuest,3,5,4,1,2023-08-08,2023-11-24
zhinst/laboneq,63,206,25,7,2022-10-05,2024-08-30
Swordcat/openqasm,1,0,1,0,2023-12-05,2023-12-05
hsadeghidw/dimod,4,0,1,0,2019-10-07,2021-01-19
jlow2397/qsim,1,0,1,1,2021-11-10,2021-11-10
refraction-ray/tensorcircuit-dev,31,54,3,2,2021-10-17,2023-01-24
js-musedev/mahout,1,0,1,1,2020-08-19,2020-08-19
Nozidoali/quantum-xyz,20,2,3,2,2024-03-17,2024-08-30
jrrhuang/amazon-braket-sdk-python,3,0,1,0,2021-06-11,2021-09-15
NordIQuEst/application-library,12,4,6,0,2024-06-18,2024-10-07
amilsted/QuantumOptics.jl,2,0,1,2,2024-09-24,2024-09-28
amitkumarj441/hafnian,1,0,1,0,2019-11-07,2019-11-07
todun/dwave-ocean-sdk,1,0,1,0,2020-03-23,2020-03-23
jackhyder/QuantumKatas,1,0,1,0,2020-06-04,2020-06-04
makotonakai/quisp,2,0,1,0,2024-01-08,2024-01-08
Doomsk/SimulaQron,3,0,2,0,2020-05-03,2020-08-23
rashidnhm/pennylane,1,0,1,0,2023-06-05,2023-06-05
adamisntdead/QuSimPy,6,17,7,2,2018-04-10,2021-06-04
neu-pml/discopy,2,0,1,0,2021-03-25,2021-09-22
Dominik-Vogel/Qcodes,2,0,2,1,2018-12-05,2019-03-11
SpinQTech/SpinQKit,2,4,4,0,2022-09-14,2022-11-20
qdev-dk-archive/Qcodes,72,50,5,0,2017-01-24,2017-11-24
ghellstern/qiskit-community-tutorials,3,0,1,0,2019-09-22,2019-09-22
sequencing-dev/sequencing,25,19,4,6,2021-01-31,2024-04-02
anirudhakulkarni/QuantumKatas,1,0,1,1,2021-01-26,2021-01-26
alexeygrigorev/mahout,2,0,1,0,2015-04-23,2015-06-09
yuewuo/fusion-blossom,44,42,9,5,2022-10-11,2024-07-31
Prakhar998/qiskit-tutorials,1,0,1,1,2021-03-20,2021-03-20
LegacYFTw/QuDiet,22,3,6,2,2022-06-30,2024-04-11
UCL-CCS/QuantumTools,5,1,2,1,2021-12-01,2022-03-25
thephoeron/black-stone,5,2,3,4,2015-07-25,2016-04-12
qilimanjaro-tech/Hackathon2021,6,0,1,0,2021-07-27,2021-07-28
nunofernandes-plight/pyzx,1,0,1,1,2021-02-20,2021-02-20
oscarhiggott/PyMatching,103,147,32,14,2020-11-25,2024-10-13
yzotov/HiQsimulator,2,1,1,0,2019-08-20,2019-09-06
uJhin/qiskit-on-iqm,1,0,1,1,2022-06-23,2022-06-23
gmlejarza/qml_test,2,3,3,1,2024-05-09,2024-05-10
Qiskit-Extensions/qiskit-experiments,1471,2430,118,177,2021-02-24,2024-10-28
tiancheng2000/quantum,1,0,1,1,2020-04-20,2020-04-20
sjerbi/quantum,1,0,1,0,2021-10-17,2021-10-17
System-Verification-Lab/Quokka-Sharp,14,24,5,8,2024-01-02,2024-10-23
adekusar-drl/qiskit-terra,24,37,2,3,2022-05-09,2023-03-06
wpfff/Qcodes,2,0,1,0,2017-11-17,2018-07-12
xanaduAI/thewalrus,396,790,71,21,2018-06-01,2024-08-12
Qiskit-Extensions/qiskit-ibm-experiment,104,72,26,9,2021-09-27,2024-09-05
DarkStarStrix/qibo,2,0,1,0,2024-05-19,2024-09-07
nkanazawa1989/qiskit-community-tutorials,1,0,1,1,2019-09-06,2019-09-06
khalatepradnya/cuda-quantum,2,0,1,0,2023-12-12,2024-04-03
rmlarose/nisqai-dev,16,21,5,8,2018-12-21,2019-08-08
quantum-ohtu/WebMark,1,0,1,0,2021-05-28,2021-05-28
CDL-Quantum/Hackathon2021,21,2,20,0,2021-07-26,2021-07-30
Algorithmiq/qiskit-aer,1,0,1,1,2023-09-25,2023-09-25
dmvjs/quantum-circuit,6,0,1,0,2024-01-03,2024-06-16
bartman081523/Cirq,2,0,1,0,2019-12-26,2020-01-23
7Magic7Mike7/Qrogue,39,2,4,1,2021-10-01,2024-10-18
Quantum-Game/quantum-tensors,60,65,8,3,2019-09-09,2023-01-07
AndreasHeumann/holohub,4,1,1,0,2024-07-25,2024-09-23
v-philkane/qsharp,1,0,1,1,2024-02-14,2024-02-14
uJhin/Cirq,1,0,1,1,2022-05-24,2022-05-24
maajjyy/pennylane,1,0,1,0,2020-10-23,2020-10-23
QISKit/qiskit-tutorial,1466,2692,442,0,2017-08-04,2023-08-21
qnl/pyEPR,1,0,1,0,2019-04-03,2019-04-03
stjordanis/QSimulator.jl,405,0,1,405,2021-12-21,2023-01-30
anushkrishnav/pennylane,1,0,1,1,2023-05-26,2023-05-26
ORNL-QCI/tnqvm,118,40,9,6,2016-11-08,2024-07-19
ebutler414/OQuPy,3,0,1,0,2024-01-15,2024-01-17
jagunnels/qiskit-sdk-py,1,0,1,0,2019-04-18,2019-04-18
KevinMTO/misim-binding,1,0,1,1,2024-03-12,2024-03-12
yehuda-naveh/qiskit-tutorials,2,0,1,0,2019-05-05,2019-05-05
chriseclectic/qiskit-ignis,4,0,1,0,2020-07-22,2020-08-12
QCHackers/jquil,1,0,1,0,2018-06-29,2018-06-29
ianhuezo/Qcodes,117,106,2,10,2020-08-03,2022-10-17
cda-tum/mqt-qusat,165,275,7,0,2022-02-28,2024-10-07
lukasvoss/Quantum_Optimal_Control,2,0,1,0,2023-12-22,2024-03-22
MadhavJivrajani/qiskit-terra,1,0,1,0,2020-05-24,2020-05-24
joshbrucker/QuantumKatas,1,0,1,0,2021-03-10,2021-03-10
abuammarsami/CSE499.06-QML-,4,2,3,4,2023-08-23,2023-10-07
jamestiotio/artiq,1,0,1,0,2024-03-03,2024-03-03
basnijholt/qsim,1,0,1,0,2023-11-27,2023-11-27
Benjamin-KY/CirqQuantum,4,0,2,3,2023-03-06,2023-03-31
rmlarose/Cirq,1,0,1,0,2020-11-13,2020-11-13
AndrewLitteken/neutral-atom-compilation,2,1,2,2,2022-07-04,2023-11-13
ishandutta2007/qiskit-sdk-py,1,0,1,1,2018-12-06,2018-12-06
Rishit-dagli/quantum,1,0,1,1,2020-09-19,2020-09-19
rigetti/qvm,322,436,48,83,2019-01-09,2024-05-16
Misty-W/mitiq,1,0,1,0,2021-07-26,2021-07-26
